sentence_id,sqs,per:title,per:founded_org,per:place_of_birth,per:children,per:cause_of_death,per:top_member_employee_of_org,per:employee_or_member_of,per:spouse,org:alternate_names,per:age,org:subsidiaries,per:place_of_death,per:schools_attended,org:place_of_headquarters,per:charges,per:places_of_residence,none,term1,b1,e1,term2,b2,e2,sentence
UAD-A-0001,0.5485884403,0,0,0.0534169907,0,0,0,0,0,0,0,0,0.1599222434,0,0,0,0.0453395279,0.741321238,Anna Nicole Smith,13,16,Bahamas,10,11,"2007-02-22 21 : 07 : 04 UTC Ld-Writethru , 0613 Bahamas cemetery where Anna Nicole Smith bought plots could become tourist attraction Eds : SUBS 4th graf with judicial ruling ."
UAD-A-0002,0.9276504101,0,0,0.0657383054,0,0,0.9456857707,1,0,0,0,0,0,0,0,0,0.0726243671,0,Henry Paulson,12,14,U.S.,9,10,2007-09-20 05 : 00 : 15 UTC WASHINGTON -- U.S. Treasury Secretary Henry Paulson has formally endorsed France 's Dominique Strauss-Khan to head the International Monetary Fund .
UAD-A-0004,0.8829476976,0,0,0,0,0,0.9264340514,0.976206822,0,0,0,0,0,0,0.023793178,0,0.211408095,0,Pervez Musharraf,21,23,Pakistan,26,27,"2008-09-05 21 : 27 : 30 UTC Saturday , Sept. 6 : ISLAMABAD , Pakistan -- Lawmakers elect a successor to Pervez Musharraf as president of Pakistan ."
UAD-A-0006,0.6520357315,0,0,0,0,0,0.0552738598,0.0552738598,0,0,0,0,0,0.0638563936,0,0,0.0658835866,0.8149861601,Tim Reid,16,18,Norfolk,29,30,Aaron has only signed 1 time for free. many years ago-he was a guest at the Tim Reid Celeb Tennis tourney to help raise scholarship $ $ $ for Norfolk State .
UAD-A-0007,0.330137879,0.0545432533,0,0.1877262976,0,0,0.4509418295,0.5157998647,0,0,0,0,0,0,0.0637505107,0,0.1325732459,0.3745038303,Millard Fillmore,17,19,United States,25,27,"Abigail Powers Fillmore ( March 13 , 1798 – March 30 , 1853 ) , wife of Millard Fillmore , was First Lady of the United States from 1850 to 1853 ."
UAD-A-0009,0.7619498145,0,0,0,0,0,0.8212542095,0.8951824343,0,0,0,0,0,0,0,0,0.1048175657,0,Ronald Reagan,13,15,US,11,12,"Abroad , she forged a close personal and political relationship with US president Ronald Reagan in the Cold War stand-off with the Soviet Union ."
UAD-A-0010,0.6636428898,0,0,0.0736561619,0,0,0.779030815,0.852269204,0,0,0,0,0,0,0,0,0.2332228117,0.0740746341,Atiku Abubakar,17,19,Nigeria,2,3,"ABUJA , Nigeria 2007-04-03 09 : 22 : 09 UTC A court has ruled against Vice President Atiku Abubakar who was seeking to overturn his disqualification from the presidential elections ."
UAD-A-0011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Cayetano Heredia University,13,16,Peru,27,28,Academics Soon after its founding and during the next following forty plus years Cayetano Heredia University became a significant center of higher learning and scientific research in Peru .
UAD-A-0014,0.6501372498,0,0,0,0,0,0,0,0,0,0,0,0.8219368821,0,0,0,0.183061071,0.0654647272,Edna Ferber,23,25,New York City,36,39,"According to Teichmann , Ferber once described Woollcott as `` a New Jersey Nero who has mistaken his pinafore for a toga. '' Edna Ferber died on April 16 , 1968 , at her home in New York City , of cancer , at the age of 82 ."
UAD-A-0015,0.3873512126,0,0.0742067323,0.0766492765,0,0,0.5882614519,0.6454203082,0,0,0,0,0,0,0,0,0.0787266879,0.1249969951,Joaquin Guzman,25,27,Sinaloa,21,22,"According to the Mexican daily Reforma , the law firm 's clients included Ivan Archivaldo Guzman Salazar , son of the Sinaloa drug cartel kingpin Joaquin Guzman ."
UAD-A-0016,0.8147560528,0,0,0,0,0,0.8505122092,0.9403586233,0,0,0,0,0,0,0,0,0.2026129273,0,Gavin Newsom,9,11,San Francisco,6,8,"According to the SF Chronicle , San Francisco Mayor Gavin Newsom has become the greatest liability for the No On 8 campaign ."
UAD-A-0018,0.7743348688,0,0.0686189847,0,0,0,0.0425084439,0.0947249367,0,0,0,0.9052750633,0,0,0,0,0,0,Scandinavian Airlines System,11,14,SAS Norway,5,7,"A court on Tuesday ordered SAS Norway , a unit of Scandinavian Airlines System ( SAS ) , to pay its low-cost rival Norwegian 132 million kroner ( 16.9 million euros , 26.3 million dollars ) in damages for illegally accessing its data ."
UAD-A-0019,0.9474220444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0427590883,0.0758713904,0,Lee Horsley,1,3,Muleshoe,6,7,"Actor Lee Horsley was born in Muleshoe on May 15 , 1955 ."
UAD-A-0020,0.9715036238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0771630264,0,Jane White,1,3,New York City,6,9,"Actress Jane White was born in New York City on October 30 , 1922 ."
UAD-A-0021,0.2889954884,0.0471540868,0,0.1106868156,0,0,0,0,0,0,0,0.0977961204,0,0,0,0,0.3404294667,0.4526986595,Murphy,2,3,New York City,4,7,"Actress Rosemary Murphy , New York City mayor John Lindsay , and several members of the Whitney family have also lived there at one time or another ."
UAD-A-0022,0.9946407349,0,0,0.9975076501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024923499,Adamo Coulibaly,0,2,Paris,9,10,"Adamo Coulibaly ( born 14 August , 1981 in Paris ) is a French footballer ."
UAD-A-0023,0.6849661616,0.0574079763,0,0,0,0,0.7278375257,0.8695021094,0,0,0,0,0,0,0,0,0,0.0730899144,Paul Volcker,33,35,ex- Federal Reserve,29,32,"Added gravitas was lent by the presence behind Obama of 16 economic advisers including such luminaries as former Treasury secretaries Larry Summers and Robert Rubin , and the towering ex- Federal Reserve chairman Paul Volcker ."
UAD-A-0024,0.9447803733,0,0,0.0656797292,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Addie Wagenknecht,0,2,New York City,14,17,"Addie Wagenknecht ( born Portland , Oregon ) is an American artist living in New York City ."
UAD-A-0025,0.493073453,0,0,0,0,0,0.3644365776,0.753393664,0,0,0,0,0,0,0,0,0.0562008189,0.1904055171,Aurelio Vidmar,27,29,Adelaide,24,25,"ADELAIDE , Australia 2008-05-25 06 : 30 : 49 UTC Despite drawing the hottest team in the Asian Champions League in the quarterfinals , Adelaide United coach Aurelio Vidmar says he 's not fazed by playing Japan 's Kashima Antlers ."
UAD-A-0026,0.9213940295,0,0,0,0,0,0.9405737168,0.9808318801,0,0,0,0,0,0,0.0764289459,0,0,0.0191681199,John Key,27,29,New Zealand,23,25,"`` A failure to follow through in Geneva and deliver the results we need would represent nothing short of political failure , `` New Zealand Prime Minister John Key said ."
UAD-A-0027,0.7027093879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458262345,0,0.1123234875,0.841850278,Princess,39,40,New York,20,22,"A few are well known - the roof gardens at Derry and Toms in London and the Rockefeller Center in New York , the garden at Twyn-yr-Hydd House in Margam and the rock and water garden he built for Princess Victoria at Coppins , Iver , England ."
UAD-A-0028,0.8290862917,0.0602584407,0,0,0,0,0.9194301867,0.9194301867,0,0,0,0,0,0,0.0452331375,0,0,0.0203113726,Jacob Zuma,4,6,African National Congress,0,3,African National Congress leader Jacob Zuma says there is `` a great need '' for both sides in Zimbabwe to put the interests of their people and country above political ambitions .
UAD-A-0030,0.4905134915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3880573387,0.6119426613,Charlie,29,30,New York,15,17,"After an injury forced him to leave Bob Astor , he stayed a while in New York , playing with Bobby Byrne in late 1942 , and then with Charlie Barnet for whom he wrote the classic arrangement of Skyliner ."
UAD-A-0031,0.2876561063,0,0.2494124679,0,0,0,0.1533670465,0.2828010153,0,0,0,0.109602027,0,0,0,0.0471005168,0,0.5115515364,Oprah Winfrey,24,26,Harpo Studios,15,17,"After a series of special effects jobs for national commercials , Kene was hired by Harpo Studios to co-ordinate the films being produced by Oprah Winfrey ."
UAD-A-0032,0.5171092544,0,0,0,0,0,0,0.0604039273,0,0,0,0,0,0,0,0,0.2407929277,0.698803145,James Fox,23,25,London,5,6,"After a successful run in London 's West End , it was made into a television play directed by John Schlesinger and starring James Fox , Prunella Scales and Geoffrey Palmer ."
UAD-A-0033,0.6686818792,0,0,0.0394549945,0,0,0.7712018179,0.8493265532,0,0,0,0,0,0,0.0394549945,0,0.0394549945,0.1506734468,Peter Ridsdale,14,16,Leeds,11,12,"After a summer sale of players , the entry of former Leeds United chairman Peter Ridsdale and numerous rumours , the development was given a 90 day time period by Cardiff Council from 31 December , 2005 to finalise the underlying business plan ."
UAD-A-0034,0.7694885021,0,0,0.8944764557,0,0,0.0357101015,0.0357101015,0,0,0,0,0,0,0,0,0.0679799449,0.0698134429,Murphy,18,19,New York City,14,17,"After attending ( as his nickname would suggest ) Fordham University in his native New York City , Murphy signed a professional contract with the New York Yankees ."
UAD-A-0036,0.484318558,0,0.0023245234,0,0,0,0.2896622807,0.7540768171,0,0.0023245234,0,0.0023245234,0,0.0431545769,0,0,0.0610036659,0.1825949936,Robert Bunsen,26,28,Heidelberg,24,25,"After attending schools in his home town , he studied chemistry at the University of Marburg under Hermann Kolbe and at the University of Heidelberg under Robert Bunsen but he never gained a degree ."
UAD-A-0037,0.7138857713,0,0.8953218659,0,0,0,0.1668693424,0.2173748382,0,0,0,0,0,0,0,0,0,0.0187293841,Sir Joshua Reynolds,22,25,Royal Academy,4,6,"After eventually entering the Royal Academy art schools , having initially been rejected , Hunt rebelled against the influence of its founder Sir Joshua Reynolds ."
UAD-A-0038,0.9352172663,0,0,0,0,0,0.924929704,1,0,0,0,0,0,0,0,0,0,0.0738327428,Chris Blackwell,4,6,Island Records,1,3,"After Island Records president Chris Blackwell refused to issue his solo album in 1974 , the volatile Tosh and Bunny Wailer left the Wailers , citing the unfair treatment they received from Blackwell , whom Tosh often referred to as 'Whiteworst' ."
UAD-A-0039,0.3534649545,0,0,0.059367096,0,0,0.5099914339,0.5547514575,0,0,0,0,0,0,0,0,0.1955997177,0.3090159209,Lyndon Johnson,1,3,U.S.,18,19,"After Lyndon Johnson in 1964 , Roosevelt 's 60.8% of the popular vote is the second-largest percentage in U.S. history since the nearly unopposed election of James Monroe in 1820 and his 98.5% of the electoral vote is the highest in two-party competition ."
UAD-A-0041,0.2787415645,0,0,0,0,0,0.1061620659,0.1775637887,0,0.0938311167,0,0,0,0,0.4446691286,0,0.3691728248,0.0085942579,Johns Hopkins,9,11,Baltimore,12,13,"After receiving degrees from three US universities , including Johns Hopkins in Baltimore , Maryland , he worked as an economist at Iceland 's central bank before taking over the government 's finance portfolio for seven years ."
UAD-A-0042,0.628969496,0,0.1450363946,0,0,0,0.5603542686,0.866330616,0,0,0,0,0,0,0,0,0,0.063431725,Eddie Vedder,12,14,Pearl Jam,9,11,"After screening an early print of the film , Pearl Jam frontman Eddie Vedder went home , wrote the song , and had a demo ready by the next day ."
UAD-A-0044,0.8026309951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211972091,0,0.9012101359,0.077592655,Princess,23,24,New York City,31,34,"After several postponements due to family births and her father 's illness , during which the princess took on some representation duties , Princess Märtha Louise and her husband moved to New York City in October 2004 ."
UAD-A-0045,0.7771843426,0,0,0,0,0,0.1717802662,0.9280092831,0,0,0,0,0,0,0,0,0,0.0719907169,Herbert Austin,9,11,Wolseley Sheep Shearing Machine Company,16,21,"After spending three months improving the sheep-shearing machine , Herbert Austin was asked to join the Wolseley Sheep Shearing Machine Company , founded in 1887 in Sydney ."
UAD-A-0046,0.6825053576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1800399208,0,0.8199600792,Moravia,15,16,Rome,10,11,"After the death of Cyril , Clement accompanied Methodius from Rome to Panonia and Great Moravia ."
UAD-A-0047,0.7852355529,0,0,0.9104772629,0,0,0,0,0,0,0,0,0,0,0,0,0.3862811591,0,Johannes Gutenberg,8,10,Mainz,33,34,"After the invention of the printing press by Johannes Gutenberg around 1440 , who had spent more than a decade in Strasbourg , the first printing offices anywhere outside the inventor 's hometown Mainz were established around 1460 in the Alsatian capital by pioneers Johannes Mentelin and Heinrich Eggestein ."
UAD-A-0049,0.5545239969,0,0,0.0564215398,0,0,0.7092532986,0.7631899714,0,0,0,0,0,0,0,0,0.0399709488,0.14041754,Francesco Totti,18,20,Roma,11,12,"After Tommaso Rocchi put Lazio ahead in the 12th minute , Roma -- which was without injured captain Francesco Totti -- replied with goals from Mirko Vucinic , Amantino Mancini and Simone Perrotta ."
UAD-A-0050,0.2907049279,0,0,0,0,0,0,0.3795204823,0,0,0,0,0,0.3467468309,0.0263097824,0,0,0.3413930883,David Hilbert,29,31,University of Göttingen,20,23,"After two years as an instructor at the University of Minnesota , Bliss spent the 1902-03 academic year at the University of Göttingen , interacting with Felix Klein , David Hilbert , Hermann Minkowski , Ernst Zermelo , Erhard Schmidt , Max Abraham , and Constantin Carathéodory ."
UAD-A-0051,0.4952948851,0,0,0.1169805739,0,0,0.6440012667,0.7206344358,0,0,0,0,0,0,0,0,0.1169805739,0.2372651097,Viktor Yanukovych,30,32,Ukraine,1,2,"After Ukraine 's Orange Revolution , Tarasyuk became foreign minister again on February 4 , 2005 , and served in the Cabinets of Yulia Tymoshenko , Yuriy Yekhanurov , and Viktor Yanukovych ."
UAD-A-0052,0.7873200006,0,0.0044003666,0.0044003666,0.0044003666,0.0044003666,0.8598301703,0.9147749225,0.0044003666,0,0,0.0044003666,0,0,0,0,0.1440875798,0.0203756314,Richard Daley,20,22,Chicago,6,7,"Again , national attention flowed to Chicago -- this time to its neglected neighborhoods , violent police officers and Mayor Richard Daley 's emphasis on glitzy projects such as Civic Center Plaza and the `` Gold Coast '' apartments lining Lake Michigan ."
UAD-A-0055,0.3106899679,0,0,0.1875823547,0.0049678341,0,0.0026970155,0.0026970155,0,0.0076648496,0,0.0049678341,0,0.0049678341,0.0591748505,0,0.5238245206,0.3190085267,Aino Kaisa Saarinen,0,3,Finland,4,5,"Aino Kaisa Saarinen , Finland , 1 minute , 39.5 seconds behind. 3 ."
UAD-A-0057,0.2491406104,0,0,0.3927946392,0,0,0,0,0,0,0,0,0,0,0.1222340646,0,0.1549507,0.3300205961,Aino Kaisa Saarinen,0,3,Finland,4,5,"Aino Kaisa Saarinen , Finland , 614 ."
UAD-A-0058,0.9718029067,0,0,0,0,0,0.9507244763,1,0,0,0,0,0,0,0,0,0,0,Jean-Cyril Spinetta,3,5,Air France-KLM,0,2,Air France-KLM Chairman Jean-Cyril Spinetta had earlier said his airline did not envisage going after Alitalia .
UAD-A-0059,0.6938014995,0,0,0,0,0,0,0,0,0.0590542167,0,0.1041263148,0,0,0,0,0,0.8368194685,Myanma Airways,27,29,Yangon Airways,30,32,"Air Naypyidaw Airport , located 10 miles ( 16 km ) southeast of the city , is served by all domestic airlines -- Air Bagan , Air Mandalay , Myanma Airways and Yangon Airways -- with regular flights to Yangon and other cities across the country ."
UAD-A-0060,0.4480568147,0,0,0,0,0,0.0044743909,0.0044743909,0,0.0044743909,0,0.049214278,0.6631432721,0.0044743909,0,0,0.1745353152,0.2157986801,Amadou Diallo,22,24,New York,3,5,A jury in New York had just acquitted the four police officers whose 41 bullets had killed an unarmed Guinean immigrant named Amadou Diallo .
UAD-A-0061,0.5630738179,0,0,0.2049500106,0,0,0,0,0,0,0,0,0,0,0.7435390793,0,0.0521933878,0.0515109101,Johns Hopkins University,13,16,"Baltimore , Maryland",17,20,"Alan Goldberg , director of the Center for Alternatives to Animal Testing at Johns Hopkins University in Baltimore , Maryland ."
UAD-A-0062,0.4979571861,0,0,0,4.19936752492541E-06,0,0.2144667761,0.7622983317,0,4.19936752492541E-06,0,4.19936752492541E-06,0,0,4.19936752492541E-06,0.0521516081,0.0785019067,0.1070439541,Alan Nolan,0,2,Dublin,7,8,Alan Nolan is a hurling player for Dublin and St Brigids .
UAD-A-0063,0.8002013234,0,0.0048069902,0,0,0.0048069902,0,0.0507100166,0,0.0048069902,0,0.0048069902,0,0,0.0048069902,0.0487081009,0,0.9005818825,Lenin,4,5,red,10,11,"A large bust of Lenin , bold against an impressive red mosaic of machine-gun toting Soviet soldiers , greets visitors at the door ."
UAD-A-0064,0.85513618,0,0,0,0,0,0.1094601271,0.9807293889,0,0,0,0,0,0.0635972708,0.1094601271,0,0.0192706111,0,Albert Jenkins,0,2,Llanelli,21,22,Albert Jenkins ( 11 March 1895-7 October 1953 ) was an international rugby player for Wales and played club rugby for Llanelli RFC between 1919 and 1928 .
UAD-A-0065,0.3560754794,0,0,0.0274100863,0,0,0.053653975,0.3313381981,0.0274100863,0,0,0.0274100863,0.0274100863,0.0274100863,0.0595899242,0.0274100863,0.1151655674,0.5487264828,Alenka Gotar,0,2,Ljubljana,23,24,"Alenka Gotar is a guest in the Maribor Opera and as a soloist , she sings in the state theatres in Salzburg and Ljubljana ."
UAD-A-0072,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allen G. Cowlings,0,3,"San Francisco , California",10,14,"Allen G. Cowlings ( born June 16 , 1947 in San Francisco , California ) first gained fame as an American football player , but is also known for his role in the saga of O.J. Simpson 's murder trial ."
UAD-A-0073,0.7791364848,0,0,0.1580454078,0,0,0,0.0270940793,0,0,0,0,0,0,0,0,0.9080394526,0,Steven Nyman,15,17,"Provo , Utah",18,21,"All four things added up it 's too difficult for me , too scary. '' Steven Nyman of Provo , Utah , missed gates both days in training and said he wo n't race Sunday due to back pain ."
UAD-A-0075,0.3135976236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3174239759,0,0.3400563249,0.4124157308,Ronnie,6,7,London,12,13,"All tracks were recorded live at Ronnie Scott 's Jazz Club , London in April 2005 ."
