"","none","org.alternate_names","org.place_of_headquarters","org.subsidiaries","per.cause_of_death","per.charges","per.children","per.employee_or_member_of","per.founded_org","per.origin","per.place_of_birth","per.place_of_death","per.places_of_residence","per.schools_attended","per.spouse","per.title","per.top_member_employee_of_org"
"none",1,-0.0156862745098039,-0.0151642796967144,-0.0150375939849624,-0.0151515151515152,-0.0151898734177215,-0.0151706700379267,-0.0194910665944775,-0.0154307758251179,-0.0169172932330827,-0.0220453153704838,-0.0172001911132346,-0.0242914979757085,-0.0150943396226415,-0.0151515151515152,-0.0151578947368421,-0.0161290322580645
"org.alternate_names",-0.0736383442265795,1,0.158751229105211,0.378477854023706,-0.0753455193936692,-0.0755476084041127,-0.0754464285714286,-0.0889362890398734,-0.0594151049358321,-0.0847117794486216,-0.112666666666667,-0.0862244897959184,-0.125277983691623,-0.075044404973357,-0.0753455193936692,-0.0753791257805531,-0.0805145307289185
"org.place_of_headquarters",-0.037910699241786,0.0845420746714143,1,0.42899319154064,-0.0387596899224806,-0.038860103626943,-0.0388098318240621,-0.0206676466523438,-0.0394910048266784,-0.0253956801575849,-0.0531202737684492,-0.0209336210553496,-0.0359061866190176,-0.0386100386100386,-0.0387596899224806,-0.03877638948729,-0.0413223140495868
"org.subsidiaries",-0.0292397660818713,0.156765975039405,0.333661371198275,1,-0.0298889837745517,-0.0299657534246575,-0.029927319367251,-0.0386100386100386,-0.0138340117638863,-0.0334288443170965,-0.0437773608505316,-0.0339970859640602,-0.0483425414364641,-0.0297745640153126,-0.0298889837745517,-0.0299017513882956,-0.0220219435736677
"per.cause_of_death",-0.037037037037037,-0.0392331698617922,-0.0378983634797588,-0.0375747224594364,1,-0.0379637618636756,-0.037914691943128,-0.0421826520733464,-0.0385795703638755,-0.0423892100192678,-0.0556609740670462,-0.0431161195492406,-0.0615384615384615,-0.037719674239177,-0.0378657487091222,-0.0378820490744727,-0.0403669724770642
"per.charges",-0.039662447257384,-0.0420205632543585,-0.040587219343696,-0.0402397260273973,-0.0405522001725626,1,-0.0406047516198704,-0.0525433202906652,-0.0413186813186813,-0.0454106280193237,-0.0596825396825397,-0.0461916461916462,-0.0660112359550562,-0.040395358831113,-0.0405522001725626,-0.0405697022011221,-0.0432382704691812
"per.children",-0.0383480825958702,-0.040625,-0.0392410521776628,-0.0389055151774262,-0.039207238259371,-0.0393088552915767,1,-0.05078125,-0.0399473222124671,-0.0438977327544621,-0.0576679340937896,-0.0446516192345437,-0.0637701471618781,-0.0390557939914163,-0.039207238259371,-0.0392241379310345,-0.0418006430868167
"per.employee_or_member_of",-0.334055224688684,-0.324696392530189,-0.141688199827735,-0.340319911748483,-0.29575791283244,-0.344885410844047,-0.344308035714286,1,0.466082913534698,0.356704773030708,-0.359218099190646,-0.219394511622579,-0.427401084693014,-0.130646015725199,-0.343732590529248,-0.32808362805546,0.661604774535809
"per.founded_org",-0.0561508786969567,-0.0460554955419764,-0.057481351469943,-0.0258893648724157,-0.0574309513371328,-0.0575824175824176,-0.0575065847234416,0.0989576364230881,1,-0.0644367929168716,-0.0851755526657997,-0.0655655655655656,-0.0944484498918529,-0.0295413877659222,-0.0574309513371328,-0.0574561403508772,0.196137426946645
"per.origin",-0.157894736842105,-0.168421052631579,-0.0948105392549837,-0.160458452722063,-0.161849710982659,-0.16231884057971,-0.162083936324168,0.19425089746891,-0.165272995573045,1,-0.0266522800153278,-0.168135304576214,-0.113288800961019,-0.161151079136691,-0.161849710982659,-0.161927710843373,-0.151289541179823
"per.place_of_birth",-0.508879363135334,-0.554,-0.490477194462014,-0.519699812382739,-0.52561669829222,-0.527619047619048,-0.526615969581749,-0.483809141697612,-0.540312093628088,-0.0659167996807662,1,-0.141937370263655,0.55047939476706,-0.522641509433962,-0.52561669829222,-0.525949367088608,-0.578288100208768
"per.place_of_death",-0.177257525083612,-0.189285714285714,-0.0862930379059411,-0.180184555609519,-0.181773640372366,-0.182309582309582,-0.182041216879293,-0.131921173115035,-0.185685685685686,-0.185649398802903,-0.0633679474943635,1,0.171321889244496,-0.134468237281656,-0.181773640372366,-0.181862745098039,-0.195571955719557
"per.places_of_residence",-0.662618083670715,-0.727946627131208,-0.391776391776392,-0.67817679558011,-0.686713286713287,-0.689606741573034,-0.688156972669937,-0.680239651812867,-0.708002883922134,-0.331100007570596,0.650506336535804,0.453471954819664,1,-0.57047932956976,-0.686713286713287,-0.687193841847446,-0.754641909814324
"per.schools_attended",-0.0331236897274633,-0.0350799289520426,-0.0338910338910339,-0.0336027222458528,-0.0338619802828976,-0.0339492909325312,-0.0339055793991416,-0.0167277718675701,-0.017815035370289,-0.0378896882494005,-0.049685534591195,-0.0286333982351775,-0.0458939582851437,1,-0.0338619802828976,-0.0338765008576329,-0.00162521198417185
"per.spouse",-0.037037037037037,-0.0392331698617922,-0.0378983634797588,-0.0375747224594364,-0.0378657487091222,-0.0379637618636756,-0.037914691943128,-0.049025069637883,-0.0385795703638755,-0.0423892100192678,-0.0556609740670462,-0.0431161195492406,-0.0615384615384615,-0.037719674239177,1,-0.0257788779516138,-0.0403669724770642
"per.title",-0.0374736842105263,-0.0396966993755575,-0.038345540715209,-0.038017941050833,-0.0383125269048644,-0.0384117393180837,-0.0383620689655172,-0.0473248669318249,-0.0390350877192982,-0.0428915662650602,-0.0563291139240506,-0.0436274509803922,-0.0622813156053184,-0.0381646655231561,-0.0260718197465185,1,-0.0408444240477283
"per.top_member_employee_of_org",-0.103942652329749,-0.110528823249166,-0.106519742883379,-0.072987012987013,-0.106422018348624,-0.106715731370745,-0.106568672485071,0.24877197356938,0.347357885890242,-0.104461826052735,-0.161447459986082,-0.122298365840801,-0.178286072379759,-0.00477277443452998,-0.106422018348624,-0.106470858191831,1
