,duration,job,judgment,unit,wqs
A03922113RU44GENR8ATX,154.256291595,14,715,715,0.595169882219
A110KENBXU7SUJ,47.8885281385,3,62,62,0.541179412334
A11TREGDHSUSJW,84.0,1,1,1,0.34304636347
A12SMSQ6D5227J,76.3333333333,1,3,3,0.315805991254
A13I8ASC3JQ04P,66.1678253968,10,377,377,0.61013673063
A14WWG6NKBDWGP,52.9316316078,12,675,675,0.518218628476
A150CIC6SJN8JC,79.0431372549,3,91,91,0.60131876913
A15NNYXDLCI2SR,95.5196260598,7,365,365,0.429790567661
A17D6BK59S31BM,118.5,1,6,6,0.296497613234
A17J1CE7N49Z9D,100.333333333,1,6,6,0.13362056888
A18G2CLYSTENK,65.4544056954,9,651,651,0.542406075934
A1909MOQZUXZZ5,217.0,1,1,1,0.732196478767
A191DEPTV6AID1,105.75,2,3,3,0.625144249667
A19BMRBO5UAD6H,34.6408602151,2,46,46,0.430411185767
A1BAEFJ2OG7NJ0,125.0,1,1,1,0.193076126931
A1C59M3HPCO503,34.1818181818,1,11,11,0.713692054894
A1CA46R2A6TV9W,18.3974358974,2,44,44,0.4189077082
A1CYOGFBBYTW3G,97.0,1,1,1,0.217205478284
A1D9FOXZ0UT0L2,27.0,1,1,1,0.160277477116
A1DABMXVWWL0TR,353.704545455,2,23,23,0.540280488734
A1DRFDGG2KCOI2,119.241840189,14,894,894,0.466534549556
A1DXFMUVK5015A,43.6666666667,1,12,12,0.33702756124
A1E235KE3CSO7H,118.5,1,2,2,0.608821216967
A1EQ2HDHF2WWSY,24.9431570608,3,151,151,0.59205217602
A1FGKIKJYSL1MI,44.9564130623,14,1011,1011,0.614026153457
A1G94QON7A9K0N,63.5992910271,15,1016,1016,0.658262002345
A1GKEEI844CEKI,76.353497325,10,424,424,0.361973931599
A1I9U0HRRM0E6C,75.1944444444,2,39,39,0.782217083628
A1IFIK8J49WBER,130.125,4,12,12,0.692343775179
A1L3937MY09J3I,63.0,1,1,1,0.675543537295
A1LUWOV426JV1N,179.56097561,1,41,41,0.402274562636
A1NEHADW7ODHQT,195.0,1,1,1,0.111443102428
A1OKNQ2JEXW34Q,59.5,2,3,3,0.824230942365
A1P7U2ULSAE7YL,227.5,1,4,4,0.543724958358
A1PJLZSOUQ4MIL,204.377561658,3,252,252,0.612112770056
A1PQNUX4BZE5O0,80.2916666667,1,72,72,0.197957956413
A1QNHP262DXUDH,254.0,1,1,1,0.44302328119
A1RT9SQ9D9DLOV,79.7184782609,2,169,169,0.612175545265
A1RXG8RE0SJ4LC,120.0,1,1,1,0.165183312163
A1T9DFT0XOO3V5,66.3125,1,48,48,0.121579608633
A1U1XZTSLNDZG5,20.0,1,1,1,0.180109097691
A1UP0R6KHEB4O,358.0,1,1,1,0.158365528514
A1X94LTZZQMHTP,19.7959183673,1,98,98,0.336519318795
A1XH05IKC77OXO,85.5,1,4,4,0.464754461744
A1Y0Y6U906ABT5,299.0,1,1,1,0.148913826134
A1Z6F664MYBMVI,201.0,1,1,1,0.983645540003
A1Z7S5WSYCVE0K,196.0,1,1,1,0.0601976221671
A20BMZQJS92QY2,82.0,1,2,2,0.958862470885
A21753FQKCM5DQ,180.5,1,2,2,0.764435118602
A21I4DTJGWJYQJ,76.4060846561,6,135,135,0.495509839656
A22VGT2F28LTWC,88.4788732394,1,71,71,0.353337173841
A2460MAJX0NA82,80.0,1,1,1,0.431041831356
A249TBL7CCUBY7,181.0,1,1,1,0.671562544174
