"sent_id","per:title","org:founded_by","per:place_of_birth","per:children","per:alternate_names","per:cause_of_death","org:top_members_employees","per:employee_or_member_of","per:spouse","org:alternate_names","per:age","org:subsidiaries","per:place_of_death","per:schools_attended","org:place_of_headquarters","per:charges","per:origin","per:places_of_residence","none","per:title_cos","org:founded_by_cos","per:place_of_birth_cos","per:children_cos","per:alternate_names_cos","per:cause_of_death_cos","org:top_members_employees_cos","per:employee_or_member_of_cos","per:spouse_cos","org:alternate_names_cos","per:age_cos","org:subsidiaries_cos","per:place_of_death_cos","per:schools_attended_cos","org:place_of_headquarters_cos","per:charges_cos","per:origin_cos","per:places_of_residence_cos","none_cos","max_cos","max_rel","seed_relation","seed_relation_cos","term1","b1","e1","term2","b2","e2","sentence"
"CONTEXT_NEG_4129",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0.242535625036333,0,0,0,0,0,0,0,0,0,0,0,0.970142500145332,0.970142500145332,"none","org:founded_by",0,"Rosoboronexport","25","26","Mikhail Dmitriyev","40","42","The Kremlin chief is accompanied to Damascus by the president of Russian warplane maker Irkut , Oleg Demchenko , the head of Russian arms exporter Rosoboronexport , Anatoly Isaikin and the head of the Federal Agency for Military Cooperation , Mikhail Dmitriyev ."
"CONTEXT_NEG_679",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,2,0.112508790092602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562543950463012,0,0.787561530648217,0.225017580185205,0.787561530648217,"per:places_of_residence","per:place_of_birth",0,"Adam Gadahn","3","5","Pakistan","9","10","America-born al-Qaida spokesman Adam Gadahn has been arrested in Pakistan , reports said Sunday ."
"CONTEXT_NEG_1748",0,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0824786098842323,0,0,0.989743318610787,0,0,0,0.0824786098842323,0,0,0,0,0,0.0824786098842323,0.989743318610787,"per:spouse","per:children",0,"Laurent Fignon","14","16","Valerie Fignon","1","3","`` Valerie Fignon , his wife , is sad to announce the death of Laurent Fignon today '' , said the hospital statement quoted by local medias ."
"CONTEXT_NEG_2989",0,0,0,0,0,3,1,0,0,1,8,1,1,0,1,0,0,1,3,0,0,0,0,0,0.319801074533416,0.106600358177805,0,0,0.106600358177805,0.852802865422442,0.106600358177805,0.106600358177805,0,0.106600358177805,0,0,0.106600358177805,0.319801074533416,0.852802865422442,"per:age","per:cause_of_death",0.319801074533416,"Don Meredith","3","5","age","24","25","Dallas Cowboys icon Don Meredith , one of the NFL franchise 's first stars , has died after suffering a brain hemorrhage at the age of 72 , the team said ."
"CONTEXT_NEG_4339",0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0.455842305838552,0,0,0,0,0.683763458757828,0,0,0,0,0,0,0.56980288229819,0.683763458757828,"org:subsidiaries","org:top_members_employees",0.455842305838552,"Arcandor","0","1","Thomas Cook","6","8","Arcandor holds a majority stake in Thomas Cook ."
"CONTEXT_NEG_1958",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.988371697650617,0,0,0,0,0,0,0,0,0,0.152057184253941,0.988371697650617,"per:spouse","per:spouse",0.988371697650617,"Edwards","2","3","John Edwards","36","38","-- Elizabeth Edwards , 61 , who captured Americans ' sympathy and admiration for her grace in coping with the death of a child , breast cancer and the infidelity of her husband , presidential candidate John Edwards , in Chapel Hill , North Carolina after a six-year battle with the disease ."
"CONTEXT_NEG_466",0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0.0755928946018454,0,0,0.0755928946018454,0,0,0,0,0.151185789203691,0,0,0,0.982707629823991,0.982707629823991,"none","per:employee_or_member_of",0,"Montcourt","3","4","Czech Republic","28","30","Last month , Montcourt achieved his highest career ranking of 104 after reaching the second round at Roland Garros , where he lost to Radek Stepanek of the Czech Republic in four sets ."
"CONTEXT_NEG_1460",1,0,0,0,0,3,0,0,0,0,0,1,4,0,1,0,0,6,4,0.111803398874989,0,0,0,0,0.335410196624968,0,0,0,0,0,0.111803398874989,0.447213595499958,0,0.111803398874989,0,0,0.670820393249937,0.447213595499958,0.670820393249937,"per:places_of_residence","per:place_of_birth",0,"Robert Kissel","0","2","Connecticut","22","23","Robert Kissel 's family suffered a further tragedy in 2006 , when his brother Andrew was found murdered in his house in Connecticut , bound and with multiple stab wounds ."
"CONTEXT_NEG_3356",3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.224859506698758,0,0,0,0,0,0.97439119569462,0,0,0,0,0,0,0,0,0,0,0,0,0.97439119569462,"org:top_members_employees","org:top_members_employees",0.97439119569462,"United Steelworkers","14","16","Mark Glyptis","9","11","About 35 workers were cut this week , said Mark Glyptis , president of United Steelworkers Local 2911 ."
"CONTEXT_NEG_2081",1,1,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,10,0.0932504808240314,0.0932504808240314,0,0,0,0.0932504808240314,0.0932504808240314,0,0,0,0.0932504808240314,0.279751442472094,0.0932504808240314,0,0,0,0,0,0.932504808240314,0.932504808240314,"none","per:age",0.0932504808240314,"Maria Kaczynska","6","8","dozens","9","10","Besides the president and his wife Maria Kaczynska , dozens of other senior Polish political figures and military top brass perished ."
