"sent_id","per:title","org:founded_by","per:place_of_birth","per:children","per:alternate_names","per:cause_of_death","org:top_members_employees","per:employee_or_member_of","per:spouse","org:alternate_names","per:age","org:subsidiaries","per:place_of_death","per:schools_attended","org:place_of_headquarters","per:charges","per:origin","per:places_of_residence","none","per:title_cos","org:founded_by_cos","per:place_of_birth_cos","per:children_cos","per:alternate_names_cos","per:cause_of_death_cos","org:top_members_employees_cos","per:employee_or_member_of_cos","per:spouse_cos","org:alternate_names_cos","per:age_cos","org:subsidiaries_cos","per:place_of_death_cos","per:schools_attended_cos","org:place_of_headquarters_cos","per:charges_cos","per:origin_cos","per:places_of_residence_cos","none_cos","workers","max_cos","max_rel","seed_relation","seed_relation_cos","term1","b1","e1","term2","b2","e2","sentence"
"CONTEXT_NEG_1070",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11,0,0.0894427190999916,0,0,0,0,0.0894427190999916,0.0894427190999916,0,0.0894427190999916,0,0,0,0,0,0,0,0,0.983869910099907,15,0.983869910099907,"none","per:title",0,"Alexander Haig","24","26","director","46","47","Bigwigs who have attended the two-week retreat include George H.W. Bush , Dick Cheney , Alan Greenspan , Walter Cronkite , Newt Gingrich , Alexander Haig , Jack Kemp , Henry Kissinger , Colin Powell , John Major , William F. Buckley , and former C.I.A. director William Casey ."
"CONTEXT_NEG_2489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752576694706878,0,0,0.658504607868518,15,0.752576694706878,"per:charges","per:charges",0.752576694706878,"Goody","5","6","rape","8","9","Widower of British TV star Goody cleared of rape"
"CONTEXT_NEG_3027",0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0.924500327042048,0,0,0,0,0,0,0.0924500327042048,0,0,0,0,0.369800130816819,15,0.924500327042048,"org:top_members_employees","per:schools_attended",0.0924500327042048,"Don Meredith","3","5","NFL","9","10","Dallas Cowboys icon Don Meredith , one of the NFL franchise 's first stars , has died after suffering a brain hemorrhage at the age of 72 , the team said ."
"CONTEXT_NEG_3323",0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,2,0,0.0816496580927726,0,0,0,0,0,0,0,0.979795897113271,0.0816496580927726,0,0,0,0,0,0,0,0.163299316185545,15,0.979795897113271,"org:alternate_names","org:subsidiaries",0,"United Steelworkers of America","6","10","USW","11","12","He 's just bowing to the United Steelworkers of America ( USW ) because they ca n't compete ."
"CONTEXT_NEG_3585",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.554700196225229,0,0,0,0,0,0,0.832050294337844,15,0.832050294337844,"none","org:subsidiaries",0.554700196225229,"Berkshire Hathaway","7","9","Burlington Northern Santa Fe Corp","14","19","The announcement comes on the same day Berkshire Hathaway said it will buy the Burlington Northern Santa Fe Corp ."
"CONTEXT_NEG_3658",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0.152057184253941,0,0,0,0,0,0,0,0,0.988371697650617,15,0.988371697650617,"none","org:subsidiaries",0,"Stockholm International Peace Research Institute","28","33","SCO","0","1","SCO members possess 17.5 percent of the world 's known oil reserves and nearly half the natural gas supplies , according to a 2007 study published by the Stockholm International Peace Research Institute ."
"CONTEXT_NEG_4427",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0.176090181265125,0,0,0,0,0.176090181265125,0,0,0,0,0,0,0.968495996958186,15,0.968495996958186,"none","org:alternate_names",0,"STX Finland","1","3","P&O Ferries","11","13","Shipbuilder STX Finland started the construction of a second ferry for P&O Ferries on Tuesday , in an overall deal valued at ( EURO ) 360 million ( $530 million ) , the company said ."
"CONTEXT_NEG_833",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,8,2,0,0,0,0,0.115470053837925,0,0,0,0,0.115470053837925,0,0,0.115470053837925,0,0,0,0.23094010767585,0.923760430703401,0.23094010767585,15,0.923760430703401,"per:places_of_residence","per:place_of_death",0.115470053837925,"Clifton","7","8","Maryland","20","21","After her husband died in 1984 , Clifton taught at the University of California at Santa Cruz before returning to Maryland in 1989 ."
"CONTEXT_NEG_1172",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.973328526784575,0,0,0,0,0,0,0,0,0.162221421130763,0.162221421130763,15,0.973328526784575,"per:spouse","per:children",0,"Joyce Brabner","21","23","Pekar","14","15","Capt. Michael Cannon of the Cleveland Heights Police Department , which was summoned to Pekar 's home by his wife , Joyce Brabner , told The Associated Press that Pekar had suffered from prostate cancer , asthma , high blood pressure and depression ."
"CONTEXT_NEG_1181",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0712470499879096,0,0,0,0,0,0,0,0,0,0.997458699830735,15,0.997458699830735,"none","per:children",0,"Seibel","0","1","Pekar","11","12","Seibel , whose husband and three children also became acquainted with Pekar , said Brabner would abruptly pull Pekar out of their telephone conversations , and that she tried to interfere with a Brooklyn book-signing event at which Seibel appeared with Pekar in November ."
"CONTEXT_NEG_1572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,"none","per:employee_or_member_of",0,"Abdul Aziz Al-Hakim","4","7","CNN","0","1","CNN notes , `` Abdul Aziz Al-Hakim spent years in Iran as an exile , but returned to Iraq in 2003 following the overthrow of Saddam Hussein ."
