"sent_id","per:title","org:founded_by","per:place_of_birth","per:children","per:alternate_names","per:cause_of_death","org:top_members_employees","per:employee_or_member_of","per:spouse","org:alternate_names","per:age","org:subsidiaries","per:place_of_death","per:schools_attended","org:place_of_headquarters","per:charges","per:origin","per:places_of_residence","none","per:title_cos","org:founded_by_cos","per:place_of_birth_cos","per:children_cos","per:alternate_names_cos","per:cause_of_death_cos","org:top_members_employees_cos","per:employee_or_member_of_cos","per:spouse_cos","org:alternate_names_cos","per:age_cos","org:subsidiaries_cos","per:place_of_death_cos","per:schools_attended_cos","org:place_of_headquarters_cos","per:charges_cos","per:origin_cos","per:places_of_residence_cos","none_cos","workers","max_cos","max_rel","seed_relation","seed_relation_cos","term1","b1","e1","term2","b2","e2","sentence"
"CONTEXT_POS_551",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,"per:title","per:title",1,"Blake Edwards","2","4","director","1","2","Oscar-winning director Blake Edwards , who made the `` Pink Panther '' movies and the romantic comedy blockbuster `` 10, '' has died aged 88 , his agent said Thursday ."
"CONTEXT_POS_360",0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0764719112901873,0,0.994134846772434,0,0,0,0,0.0764719112901873,0,0,0,0,0,0,0,0,0,15,0.994134846772434,"per:alternate_names","per:alternate_names",0.994134846772434,"Penner","4","5","Christine Daniels","9","11","After his vacation , Penner did indeed return as Christine Daniels , not only continuing to report on sports for the Times but also authoring a blog called `` Woman in Transition, '' detailing his experiences ."
"CONTEXT_POS_1024",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,"org:subsidiaries","org:subsidiaries",1,"Ivanhoe Mines","23","25","SouthGobi Energy Resources","14","17","China 's sovereign wealth fund has said it will invest 500 million dollars in SouthGobi Energy Resources , a unit of Canada 's Ivanhoe Mines with coal operations in Mongolia ."
"CONTEXT_POS_231",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.99654575824488,0,0,0,0,0,0,0,0,0,0,0,0,0.08304547985374,0,0,13,0.99654575824488,"per:children","per:children",0.99654575824488,"Brooke Astor","7","9","Anthony Marshall","0","2","Anthony Marshall , son of millionaire philanthropist Brooke Astor , was found guilty Thursday of defrauding his late mother while she suffered from dementia in New York 's biggest society trial in years ."
"CONTEXT_POS_534",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,1,"per:place_of_death","per:place_of_death",1,"Edwards","0","1","Santa Monica","15","17","Edwards died from complications of pneumonia late Wednesday at St. John 's Health Center in Santa Monica , said publicist Gene Schwam ."
"CONTEXT_POS_1113",0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,4,0,0.10976425998969,0,0,0,0,0,0,0,0.10976425998969,0,0.878114079917523,0,0,0,0.10976425998969,0,0,0.439057039958761,15,0.878114079917523,"org:subsidiaries","org:subsidiaries",0.878114079917523,"Cabinet","42","43","State-owned Assets Supervision and Administration Commission","44","50","The 136 banks , airlines , oil producers and other companies controlled by the central government reported total profit of 316 billion yuan ( $46 billion ) from January to June , the Xinhua News Agency said , citing the director of Cabinet 's State-owned Assets Supervision and Administration Commission ."
"CONTEXT_POS_916",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0.894427190999916,0,0,0,0,3,0.894427190999916,"org:place_of_headquarters","org:place_of_headquarters",0.894427190999916,"Election Complaints Commission","10","13","Afghanistan","8","9","The United Nations appointed two foreign members of Afghanistan 's Election Complaints Commission ( ECC ) here on Saturday ."
"CONTEXT_POS_1137",0,6,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0.697485832462916,0,0,0,0,0.116247638743819,0,0,0,0,0,0,0,0.697485832462916,0,0,0,0.116247638743819,13,0.697485832462916,"org:founded_by,org:place_of_headquarters","org:place_of_headquarters",0.697485832462916,"Rosoboronexport","7","8","Russia","2","3","Meanwhile , Russia 's state-owned arms exporter Rosoboronexport and the Vietnamese Defense Ministry 's General Export-Import Company clinched a major arms deal ."
"CONTEXT_POS_864",0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,3,0,0,0.138675049056307,0,0,0,0,0,0,0,0,0,0.554700196225229,0,0,0,0.693375245281536,0.138675049056307,0.416025147168922,14,0.693375245281536,"per:origin","per:origin",0.693375245281536,"Orlando Zapata","17","19","Cuban","14","15","But the EU Commission last month voiced deep regret at the death of leading Cuban political prisoner Orlando Zapata , who died after a long hunger strike , and called on Havana to improve human rights ."
"CONTEXT_POS_243",1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712470499879096,0,0,0,0.997458699830735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.997458699830735,"per:alternate_names","per:alternate_names",0.997458699830735,"Adam Gadahn","4","6","Azzam al-Amriki","10","12","The message also featured Adam Gadahn , also known as Azzam al-Amriki , an American who grew up in southern California , converted to Islam and joined al-Qaida ."
