,pattern,seed_relation,object,sent_id,b1,e1,b2,e2,sentence,ground_truth,term1,term2
0,SF13_ENG_001,per:cities_of_residence,Kabul,CONTEXT_POS_1,11,12,14,15,"Armed with a battery of degrees from Afghanistan and Europe , Bashardost returned to Kabul nearly five years ago , determined to play a role in his home country after the US-led invasion ousted the repressive Taliban regime .",correct,Bashardost,Kabul
1,SF13_ENG_001,per:cities_of_residence,Kabul,CONTEXT_POS_2,3,5,1,2,"Popular Kabul lawmaker Ramazan Bashardost , who camps out in a tent near parliament and campaigned against corruption , scored 108,156 and former World Bank economist Ashraf Ghani 27,697 votes , Najafi added .",correct,Ramazan Bashardost,Kabul
2,SF13_ENG_001,per:cities_of_residence,Paris,CONTEXT_POS_3,9,10,19,20,"When the Taliban regime was ousted in 2001 , Bashardost took a diplomatic post at the Afghan embassy in Paris , and in 2003 returned home to head the European Affairs Department at the Foreign Affairs Ministry .",correct,Bashardost,Paris
3,SF13_ENG_001,per:countries_of_residence,Afghanistan,CONTEXT_POS_4,0,1,27,28,Bashardost was born in 1965 in the southern Ghanzi province and his family migrated to Iran and then to Pakistan after successive coup and factional fighting in Afghanistan .,correct,Bashardost,Afghanistan
4,SF13_ENG_001,per:countries_of_residence,Afghanistan,CONTEXT_POS_5,0,1,3,4,"Bashardost belongs to Afghanistan 's fiercely independent minority , the Hazara , who are of Mongolian descent but whose numbers are too small to ever expect to control the top office in war-torn and deeply tribal Afghanistan .",correct,Bashardost,Afghanistan
5,SF13_ENG_001,per:countries_of_residence,Afghanistan,CONTEXT_POS_6,0,2,16,17,"Ramazan Bashardost , a popular lawmaker who camps out in a tent near parliament , is Afghanistan 's most eccentric candidate in the race for president but master of a popular anti-corruption campaign .",correct,Ramazan Bashardost,Afghanistan
6,SF13_ENG_001,per:countries_of_residence,Afghanistan,CONTEXT_POS_7,10,11,5,6,"Labeled by some as `` Afghanistan 's Ralph Nader, '' Bashardost has virtually no chance of winning the election , but has the potential to capture enough votes from Karzai to force a second-round runoff .",correct,Bashardost,Afghanistan
7,SF13_ENG_001,per:countries_of_residence,Afghanistan,CONTEXT_POS_8,11,12,7,8,"Armed with a battery of degrees from Afghanistan and Europe , Bashardost returned to Kabul nearly five years ago , determined to play a role in his home country after the US-led invasion ousted the repressive Taliban regime .",correct,Bashardost,Afghanistan
8,SF13_ENG_001,per:countries_of_residence,Afghanistan,CONTEXT_POS_9,6,7,11,12,"One analyst cast doubt on whether Bashardost , a member of Afghanistan 's minority Hazara community , has the political clout to make a difference .",correct,Bashardost,Afghanistan
9,SF13_ENG_001,per:countries_of_residence,France,CONTEXT_POS_10,0,1,19,20,"Bashardost , who spent his childhood buried in books , says he realized while he was in school in France that his ambitions would dictate that he lead a hermit 's existence .",correct,Bashardost,France
10,SF13_ENG_001,per:countries_of_residence,France,CONTEXT_POS_11,16,17,24,25,"But in a sign of just how disenchanted some Afghans have become with their government , Bashardost , a doctoral scholar who lived in France for two decades , is widely believed to be at least fourth in popularity among 42 candidates in the August elections .",correct,Bashardost,France
11,SF13_ENG_001,per:countries_of_residence,Pakistan,CONTEXT_POS_12,0,1,19,20,Bashardost was born in 1965 in the southern Ghanzi province and his family migrated to Iran and then to Pakistan after successive coup and factional fighting in Afghanistan .,correct,Bashardost,Pakistan
12,SF13_ENG_001,per:countries_of_residence,Pakistan,CONTEXT_POS_13,0,1,2,3,Bashardost left Pakistan for France in 1981 .,correct,Bashardost,Pakistan
13,SF13_ENG_001,per:countries_of_residence,Pakistan,CONTEXT_POS_14,8,9,32,33,"Born in Ghazni province in central Afghanistan , Bashardost fled the country in 1978 as the Soviets invaded , first to Iran , where he finished high school , and later to Pakistan .",correct,Bashardost,Pakistan
14,SF13_ENG_001,per:country_of_birth,Afghanistan,CONTEXT_POS_15,0,1,27,28,Bashardost was born in 1965 in the southern Ghanzi province and his family migrated to Iran and then to Pakistan after successive coup and factional fighting in Afghanistan .,correct,Bashardost,Afghanistan
15,SF13_ENG_001,per:country_of_birth,Afghanistan,CONTEXT_POS_16,0,2,20,21,Ramazan Bashardost 's election campaign seems better suited for a student government race than a drive for the presidency of Afghanistan .,correct,Ramazan Bashardost,Afghanistan
16,SF13_ENG_001,per:country_of_birth,Afghanistan,CONTEXT_POS_17,8,9,6,7,"Born in Ghazni province in central Afghanistan , Bashardost fled the country in 1978 as the Soviets invaded , first to Iran , where he finished high school , and later to Pakistan .",correct,Bashardost,Afghanistan
17,SF13_ENG_001,per:date_of_birth,1965,CONTEXT_POS_18,0,1,4,5,Bashardost was born in 1965 in the southern Ghanzi province and his family migrated to Iran and then to Pakistan after successive coup and factional fighting in Afghanistan .,correct,Bashardost,1965
18,SF13_ENG_001,per:employee_or_member_of,Cabinet,CONTEXT_POS_19,7,8,4,5,"A lawmaker and former Cabinet minister , Bashardost , 43 , is a self-styled populist and ascetic whose campaign office is a tent pitched outside the parliament building .",correct,Bashardost,Cabinet
19,SF13_ENG_001,per:origin,Afghan,CONTEXT_POS_20,0,2,5,6,"Ramazan Bashardost , a popular Afghan lawmaker who camps out in a tent near parliament and campaigned against corruption , got 53,740 votes and former World Bank economist Ashraf Ghani 15,143 votes , the commission announced .",correct,Ramazan Bashardost,Afghan
20,SF13_ENG_001,per:origin,Afghanistan,CONTEXT_POS_21,15,17,9,10,"The secrecy in this vote irritates some , including Afghanistan 's former planning minister , Ramazan Bashardost , who came in third during last year 's presidential election .",correct,Ramazan Bashardost,Afghanistan
21,SF13_ENG_001,per:stateorprovince_of_birth,Ghazni,CONTEXT_POS_22,0,1,9,10,"Bashardost , an ethnic Hazara , was born in Ghazni province to a family of government employees .",correct,Bashardost,Ghazni
22,SF13_ENG_001,per:stateorprovince_of_birth,Ghazni,CONTEXT_POS_23,8,9,2,3,"Born in Ghazni province in central Afghanistan , Bashardost fled the country in 1978 as the Soviets invaded , first to Iran , where he finished high school , and later to Pakistan .",correct,Bashardost,Ghazni
23,SF13_ENG_001,per:title,Dr.,CONTEXT_POS_24,1,3,0,1,Dr. Ramazan Bashardost is the third famous candidate followed by Dr. Ashraf Ghani Ahmedzai on 4th .,correct,Ramazan Bashardost,Dr.
24,SF13_ENG_001,per:title,legislator,CONTEXT_POS_25,22,24,26,27,"Karzai , who is the front-runner in polls , appeared in the televised debate Sunday evening alongside two other prominent candidates , Ramazan Bashardost , a legislator , and Ashraf Ghani , a former finance minister .",correct,Ramazan Bashardost,legislator
25,SF13_ENG_001,per:title,member of parliament,CONTEXT_POS_26,0,2,4,7,"Ramazan Bashardost , a member of parliament and one of nearly 40 presidential candidates , was in Khost campaigning for the Aug. 20 ballot but did not appear to be a target of the attack .",correct,Ramazan Bashardost,member of parliament
26,SF13_ENG_001,per:title,parliamentarian,CONTEXT_POS_27,17,19,16,17,"`` If we have the same cabinet the future will not be different than today, '' parliamentarian Ramazan Bashardost said while referring to the personalities of the new ministerial designates .",correct,Ramazan Bashardost,parliamentarian
27,SF13_ENG_001,per:title,representative,CONTEXT_POS_28,6,7,12,13,"After he resigned the post , Bashardost was elected as Kabul 's representative in the 2006 parliamentary elections .",correct,Bashardost,representative
28,SF13_ENG_002,per:age,50,CONTEXT_POS_29,0,1,2,3,"Bolland , 50 , credited with reviving the fortunes of British supermarket chain Morrisons since his appointment there as chief executive in 2006 , will replace Briton Stuart Rose at the start of 2010 , M&S said in a statement .",correct,Bolland,50
29,SF13_ENG_002,per:age,50,CONTEXT_POS_30,0,1,2,3,"Bolland , 50 , currently chief executive of British supermarket chain Morrisons , will replace Stuart Rose at the start of 2010 , Marks and Spencer said in a statement .",correct,Bolland,50
30,SF13_ENG_002,per:employee_or_member_of,Heineken,CONTEXT_POS_31,0,1,11,12,"Bolland , previously a chief operating officer at Dutch brewing giant Heineken , expressed his pleasure at being offered the chance to lead `` one of the world 's great brands . ''",correct,Bolland,Heineken
31,SF13_ENG_002,per:employee_or_member_of,Marks & Spencer,CONTEXT_POS_32,15,17,1,4,"`` Marks & Spencer has had a strong first half, '' said new chief executive Marc Bolland , who joined the retailer from supermarket firm Morrisons earlier this year .",correct,Marc Bolland,Marks & Spencer
32,SF13_ENG_002,per:employee_or_member_of,Morrisons,CONTEXT_POS_33,0,1,11,12,"Bolland , 50 , currently chief executive of British supermarket chain Morrisons , will replace Stuart Rose at the start of 2010 , Marks and Spencer said in a statement .",correct,Bolland,Morrisons
33,SF13_ENG_002,per:employee_or_member_of,Morrison Supermarkets PLC,CONTEXT_POS_34,0,2,6,9,"Marc Bolland , former CEO of Morrison Supermarkets PLC , is joining M&S on May 1 as its new chief executive .",correct,Marc Bolland,Morrison Supermarkets PLC
34,SF13_ENG_002,per:title,CEO,CONTEXT_POS_35,0,2,4,5,"Marc Bolland , former CEO of Morrison Supermarkets PLC , is joining M&S on May 1 as its new chief executive .",correct,Marc Bolland,CEO
35,SF13_ENG_002,per:title,CEO,CONTEXT_POS_36,0,2,4,5,"Marc Bolland , formerly CEO at Morrisons supermarkets , joined Marks and Spencer as chief executive on May 1 , and is expected to give early attention to improving the performance of the company 's food offering .",correct,Marc Bolland,CEO
36,SF13_ENG_002,per:title,CEO,CONTEXT_POS_37,13,15,12,13,Marks and Spencer shares jumped 5.9 percent after the retailer said Morrisons CEO Marc Bolland was to become its CEO in the new year .,correct,Marc Bolland,CEO
37,SF13_ENG_002,per:title,chief executive,CONTEXT_POS_38,0,1,5,7,"Bolland , 50 , currently chief executive of British supermarket chain Morrisons , will replace Stuart Rose at the start of 2010 , Marks and Spencer said in a statement .",correct,Bolland,chief executive
38,SF13_ENG_002,per:title,chief executive,CONTEXT_POS_39,10,12,8,10,"Customers are returning to quality, '' said M&S chief executive Marc Bolland .",correct,Marc Bolland,chief executive
39,SF13_ENG_002,per:title,chief executive,CONTEXT_POS_40,14,16,19,21,British clothes-to-food retailer Marks and Spencer on Wednesday announced the appointment of supermarket boss Marc Bolland as its new chief executive .,correct,Marc Bolland,chief executive
40,SF13_ENG_002,per:title,Chief Executive,CONTEXT_POS_41,3,5,1,3,"New Chief Executive Marc Bolland said the company would initially focus on improving brands within the British business , but it was keen to become an international retailer to reduce its dependency on the domestic economic cycle .",correct,Marc Bolland,Chief Executive
41,SF13_ENG_002,per:title,chief executive,CONTEXT_POS_42,9,11,7,9,"Rose said he was working alongside new chief executive Marc Bolland , who joined earlier this month , to ensure a `` smooth transition '' and added that he would also help look for a new chairman .",correct,Marc Bolland,chief executive
